q,intensity
1.000000000000000021e-02,3.779291883768776059e+07
1.246231155778894546e-02,3.765012280050732940e+07
1.492462311557788898e-02,3.747615269483166933e+07
1.738693467336683424e-02,3.727121517488005012e+07
1.984924623115577949e-02,3.703605296510174125e+07
2.231155778894472475e-02,3.677151206150646508e+07
2.477386934673366653e-02,3.647892689798407257e+07
2.723618090452261525e-02,3.615648192768005282e+07
2.969849246231155704e-02,3.580699011132319272e+07
3.216080402010050576e-02,3.543082264948406816e+07
3.462311557788944755e-02,3.502840325731965899e+07
3.708542713567839627e-02,3.460040182775595039e+07
3.954773869346733806e-02,3.414843271871183068e+07
4.201005025125628678e-02,3.367302529418441653e+07
4.447236180904522856e-02,3.317456563051243499e+07
4.693467336683417729e-02,3.265441728412758932e+07
4.939698492462311907e-02,3.211435887754605711e+07
5.185929648241206086e-02,3.155507322277285159e+07
5.432160804020100958e-02,3.097725880378659442e+07
5.678391959798995137e-02,3.038158570127202198e+07
5.924623115577890009e-02,2.977035390260988101e+07
6.170854271356784188e-02,2.914549687886385992e+07
6.417085427135678366e-02,2.850613285582430288e+07
6.663316582914573238e-02,2.785442174711070955e+07
6.909547738693466723e-02,2.719166352786356956e+07
7.155778894472361595e-02,2.651896329907692969e+07
7.402010050251256468e-02,2.583745267049917206e+07
7.648241206030149952e-02,2.514916509029069543e+07
7.894472361809044825e-02,2.445420919823020697e+07
8.140703517587939697e-02,2.375441460136201233e+07
8.386934673366834569e-02,2.305089217435111105e+07
8.633165829145728054e-02,2.234589671625556797e+07
8.879396984924622926e-02,2.163859330409586802e+07
9.125628140703517799e-02,2.093108704657674208e+07
9.371859296482411283e-02,2.022509895639967918e+07
9.618090452261306156e-02,1.952034774785924703e+07
9.864321608040201028e-02,1.882024562051577121e+07
1.011055276381909590e-01,1.812376781994337216e+07
1.035678391959798939e-01,1.743233631152157858e+07
1.060301507537688426e-01,1.674788467111322097e+07
1.084924623115577913e-01,1.607077012548296340e+07
1.109547738693467261e-01,1.540150620415116102e+07
1.134170854271356749e-01,1.474196181165734120e+07
1.158793969849246236e-01,1.409200041365174577e+07
1.183417085427135723e-01,1.345244544625947997e+07
1.208040201005025072e-01,1.282535502999144420e+07
1.232663316582914559e-01,1.221021344973732159e+07
1.257286432160804046e-01,1.160798073653076030e+07
1.281909547738693533e-01,1.101954265494856052e+07
1.306532663316583021e-01,1.044486520541786589e+07
1.331155778894472508e-01,9.885161895920673385e+06
1.355778894472361995e-01,9.340487932476790622e+06
1.380402010050251482e-01,8.811198369312930852e+06
1.405025125628140970e-01,8.297476504173199646e+06
1.429648241206030179e-01,7.800726297108957544e+06
1.454271356783919666e-01,7.320068014566630125e+06
1.478894472361809154e-01,6.856317673940555193e+06
1.503517587939698641e-01,6.409385856772519648e+06
1.528140703517588128e-01,5.979344879850666039e+06
1.552763819095477615e-01,5.566534698242293671e+06
1.577386934673367103e-01,5.170767160318431444e+06
1.602010050251256312e-01,4.792237641873807646e+06
1.626633165829145800e-01,4.430700264867249876e+06
1.651256281407035287e-01,4.086290996331400238e+06
1.675879396984924774e-01,3.758578669952870812e+06
1.700502512562814261e-01,3.447494800324826036e+06
1.725125628140703749e-01,3.152861578556647990e+06
1.749748743718593236e-01,2.874598563301121816e+06
1.774371859296482445e-01,2.612155608607539441e+06
1.798994974874371933e-01,2.365456493631164543e+06
1.823618090452261420e-01,2.134045454604987986e+06
