wavelength,absorbance
2.000000000000000000e+02,7.750414498869404034e-02
2.020066889632107063e+02,1.305939202674527011e-01
2.040133779264214127e+02,5.667526664170817463e-02
2.060200668896321190e+02,1.113802125935927645e-01
2.080267558528427969e+02,1.133808492960662745e-01
2.100334448160535032e+02,6.334031493862254947e-02
2.120401337792642096e+02,1.735949310956291791e-01
2.140468227424749159e+02,8.629848290113130427e-02
2.160535117056856222e+02,9.251295710678580919e-02
2.180602006688963286e+02,6.582616385694091410e-02
2.200668896321070349e+02,1.186661887329295839e-01
2.220735785953177128e+02,1.215093376420717797e-01
2.240802675585284192e+02,1.370174552377878552e-01
2.260869565217391255e+02,1.146195395129677719e-01
2.280936454849498318e+02,3.286266236601520507e-02
2.301003344481605382e+02,8.557259115460216781e-02
2.321070234113712445e+02,9.857009483938802830e-02
2.341137123745819508e+02,8.473672673653992460e-02
2.361204013377926572e+02,3.863843205920373947e-02
2.381270903010033351e+02,1.352177095741398105e-01
2.401337792642140414e+02,8.091405256683707747e-02
2.421404682274247477e+02,1.144071973966112737e-01
2.441471571906354541e+02,5.802214000447574599e-02
2.461538461538461604e+02,1.111280883752586851e-01
2.481605351170568383e+02,1.321261819235549639e-01
2.501672240802675447e+02,6.583892456352753719e-02
2.521739130434782510e+02,9.672616377775658525e-02
2.541806020066889573e+02,6.749885030987543000e-02
2.561872909698996637e+02,1.028779439083810088e-02
2.581939799331103700e+02,1.085320698538080469e-01
2.602006688963210763e+02,7.336178954176446332e-02
2.622073578595317827e+02,7.291283161695555348e-02
2.642140468227424890e+02,1.424528185873471797e-01
2.662207357859531953e+02,9.631140032665652662e-02
2.682274247491639017e+02,1.225011170861422249e-01
2.702341137123745511e+02,8.878664084262702372e-02
2.722408026755853143e+02,1.859708093590480282e-01
2.742474916387959638e+02,5.766546072436413983e-02
2.762541806020066701e+02,1.018238985235936506e-01
2.782608695652173765e+02,1.203418797191143363e-01
2.802675585284280828e+02,8.690425980444618781e-02
2.822742474916387891e+02,1.203193436910944131e-01
2.842809364548494955e+02,1.037646848601467969e-01
2.862876254180602018e+02,8.457773195245922582e-02
2.882943143812709081e+02,1.297105412756729415e-01
2.903010033444816145e+02,4.537005524474755497e-02
2.923076923076923208e+02,9.664552956557927177e-02
2.943143812709030271e+02,1.208012512669753569e-01
2.963210702341136766e+02,1.257606230495678101e-01
2.983277591973244398e+02,1.008554844078929646e-01
3.003344481605350893e+02,1.050138173081937715e-01
3.023411371237458525e+02,9.100501669727896481e-02
3.043478260869565020e+02,9.183405048005149895e-02
3.063545150501672083e+02,1.194727997205175529e-01
3.083612040133779146e+02,7.456794193272078819e-02
3.103678929765886210e+02,1.194938339198861332e-01
3.123745819397993273e+02,8.050402207645565578e-02
3.143812709030100336e+02,1.386210936551471873e-01
3.163879598662207400e+02,3.096513813031893936e-02
3.183946488294314463e+02,7.564414682226543174e-02
3.204013377926421526e+02,9.669670616515942119e-02
3.224080267558528590e+02,8.719121347500642660e-02
3.244147157190635653e+02,1.174723407525147811e-01
3.264214046822742148e+02,1.062718102885241850e-01
3.284280936454849780e+02,6.311778533092171628e-02
3.304347826086956275e+02,8.713891191398817626e-02
3.324414715719063906e+02,1.378271260650366647e-01
3.344481605351170401e+02,7.466689145611578315e-02
3.364548494983277465e+02,1.362339041398827333e-01
3.384615384615384528e+02,8.412272703442266741e-02
3.404682274247491591e+02,7.532795443077799913e-02
3.424749163879598655e+02,1.332280570076220805e-01
3.444816053511705718e+02,1.501964945390655559e-01
3.464882943143812781e+02,8.749650822211377243e-02
3.484949832775919845e+02,9.052794005997558124e-02
3.505016722408026908e+02,1.243759580984938051e-01
3.525083612040133403e+02,8.998497988206491383e-02
3.545150501672241035e+02,1.247128068612604196e-01
3.565217391304347530e+02,1.123163842465693951e-01
3.585284280936455161e+02,1.138005914938962776e-01
3.605351170568561656e+02,8.528365094022841153e-02
3.625418060200669288e+02,8.739285017518391707e-02
