two_theta,intensity
1.000000000000000000e+01,2.809719496479364409e+01
1.014028056112224441e+01,2.556114930174190647e+01
1.028056112224448881e+01,2.505620606960364327e+01
1.042084168336673322e+01,1.729856227111298850e+01
1.056112224448897763e+01,1.860375545646027717e+01
1.070140280561122204e+01,1.518182186163240743e+01
1.084168336673346644e+01,2.782891687778458589e+01
1.098196392785571085e+01,2.534080346351383639e+01
1.112224448897795526e+01,2.029438654188652080e+01
1.126252505010019966e+01,1.575700435947181788e+01
1.140280561122244407e+01,1.901592680135963676e+01
1.154308617234469025e+01,1.486122338651929553e+01
1.168336673346693289e+01,2.315898398117622392e+01
1.182364729458917907e+01,1.368435391321119710e+01
1.196392785571142348e+01,1.970240307153673598e+01
1.210420841683366788e+01,1.318223336050486516e+01
1.224448897795591229e+01,1.879241428608766284e+01
1.238476953907815670e+01,2.279284094788543769e+01
1.252505010020040110e+01,2.165163907246780894e+01
1.266533066132264551e+01,3.123197706405949248e+01
1.280561122244488992e+01,1.693674401873201774e+01
1.294589178356713433e+01,1.639305677310464304e+01
1.308617234468937873e+01,2.208514218900384307e+01
1.322645290581162314e+01,1.980629266936404775e+01
1.336673346693386755e+01,2.877754491614561516e+01
1.350701402805611195e+01,2.254349603521102097e+01
1.364729458917835636e+01,2.294360232553503565e+01
1.378757515030060077e+01,1.702268188970747786e+01
1.392785571142284518e+01,2.542314735195970599e+01
1.406813627254508958e+01,1.622068401885452715e+01
1.420841683366733577e+01,1.653434656481267950e+01
1.434869739478957840e+01,1.473850742257280189e+01
1.448897795591182458e+01,2.318573740473957301e+01
1.462925851703406721e+01,1.925385086426117454e+01
1.476953907815631339e+01,1.734505655945123692e+01
1.490981963927855602e+01,1.718145960012815721e+01
1.505010020040080221e+01,2.485475442243949828e+01
1.519038076152304484e+01,1.927178036284496443e+01
1.533066132264529102e+01,1.696111412451079303e+01
1.547094188376753543e+01,2.221435050903142283e+01
1.561122244488977984e+01,2.000068485883245728e+01
1.575150300601202424e+01,2.222420724272222259e+01
1.589178356713426865e+01,1.601807048287195911e+01
1.603206412825651483e+01,2.523315564521758603e+01
1.617234468937875747e+01,2.553852585596567337e+01
1.631262525050100010e+01,2.060835650668358099e+01
1.645290581162324628e+01,2.209320076642408637e+01
1.659318637274549246e+01,2.186839883630660708e+01
1.673346693386773509e+01,1.502236964860137292e+01
1.687374749498998128e+01,2.185643708478830050e+01
1.701402805611222391e+01,1.760820847987874416e+01
1.715430861723447009e+01,2.120235686811221498e+01
1.729458917835671272e+01,1.396989610845621854e+01
1.743486973947895891e+01,1.906795284857764727e+01
1.757515030060120154e+01,2.295377400797598710e+01
1.771543086172344772e+01,1.997712039091492642e+01
1.785571142284569035e+01,1.839965848616472144e+01
1.799599198396793653e+01,1.559827667289585307e+01
1.813627254509017916e+01,2.102481933572368433e+01
1.827655310621242535e+01,1.566235040221982722e+01
1.841683366733467153e+01,1.916233581647146167e+01
1.855711422845691416e+01,2.620002602877355002e+01
1.869739478957915679e+01,1.739359149875373944e+01
1.883767535070140298e+01,2.280453849397867927e+01
1.897795591182364916e+01,2.499737481642548431e+01
1.911823647294589179e+01,1.971464564018279120e+01
1.925851703406813442e+01,2.261262061089124842e+01
